area,perimeter,eccentricity,solidity,extent,convex_area,aspect_ratio,compactness,contrast,type
1718.0,207.5035713374682,0.9461151302215045,0.878323108384458,0.6053558844256519,1956.0,3.0880357295326397,1.9944269222570228,180.87004628926394,leaf
395.0,78.52691193458118,0.75235514845045,0.9404761904761905,0.6905594405594405,420.0,1.5180087810205505,1.2423102792668161,180.87004628926394,leaf
2508.0,228.65180361560903,0.8510025379349934,0.9213813372520205,0.567420814479638,2722.0,1.9041758699948774,1.6588681419960571,180.87004628926394,leaf
6492.0,365.30360723121805,0.9018731593634661,0.9482909728308502,0.5188618925831202,6846.0,2.3148098259689047,1.6357598579614718,180.87004628926394,leaf
1719.0,349.9655121145938,0.9972574480287345,0.8586413586413586,0.2374965460071843,2002.0,13.511561496394618,5.669761045913586,180.87004628926394,stem
965.0,125.1543289325507,0.7658807225410617,0.9095193213949104,0.6757703081232493,1061.0,1.5552518609096444,1.291678927248851,180.87004628926394,leaf
9947.0,428.39296500631315,0.7839288209492971,0.9670425821504958,0.57394264612544,10286.0,1.6106931738034087,1.4681914095186408,180.87004628926394,leaf
5096.0,433.0142853498728,0.9664659024812458,0.807863031071655,0.2676048941868403,6308.0,3.8941571922045197,2.9279601728433273,180.87004628926394,stem
5198.0,380.5756851698602,0.9202655896054606,0.8157564344005022,0.44996537396121883,6372.0,2.5556210499089014,2.217358610551491,180.87004628926394,leaf
717.0,117.7401153701776,0.8968980174770937,0.9180537772087067,0.5901234567901235,781.0,2.2612287601237284,1.5385793326365675,180.87004628926394,leaf
260.0,70.62741699796952,0.7775182512579499,0.9386281588447654,0.6018518518518519,277.0,1.5901781105037724,1.5267342022136654,180.87004628926394,leaf
1429.0,156.71067811865476,0.8330223319196111,0.9285250162443145,0.6368092691622104,1539.0,1.807535876908103,1.3675873877903824,180.87004628926394,leaf
802.0,120.66904755831214,0.8593619694520117,0.9570405727923628,0.660082304526749,838.0,1.955539713199171,1.444799349409722,180.87004628926394,leaf
424.0,77.94112549695427,0.7019506184177793,0.9592760180995475,0.7571428571428571,442.0,1.4040494701907815,1.140138536790949,180.87004628926394,leaf
4959.0,336.8772003600252,0.9324082098495637,0.9052573932092004,0.4909414909414909,5478.0,2.766964509251924,1.8211229443067807,180.87004628926394,leaf
2151.0,441.2203461105328,0.9979782590338976,0.6647095179233622,0.155060553633218,3236.0,15.734098524546656,7.20212720249106,180.87004628926394,stem
4020.0,398.0904037956217,0.9255176372613977,0.8278418451400329,0.5275590551181102,4856.0,2.6405812005750127,3.137093771416872,180.87004628926394,stem
386.0,115.59188309203678,0.9886427748854704,0.8935185185185185,0.6620926243567753,432.0,6.654041338234936,2.754593440416235,180.87004628926394,stem
515.0,95.01219330881975,0.9103476124671103,0.9519408502772643,0.7152777777777778,541.0,2.416366856225694,1.3948952464927655,180.87004628926394,leaf
15557.0,578.7188668141177,0.8837585634781652,0.961436252394784,0.5456299102132436,16181.0,2.1370116808314585,1.7131664719900757,180.87004628926394,leaf
2199.0,236.02438661763952,0.9279006311982857,0.8863361547762999,0.5113953488372093,2481.0,2.68220486497714,2.0159449193831964,180.87004628926394,leaf
472.0,93.94112549695427,0.7674911826382402,0.9291338582677166,0.6090322580645161,508.0,1.559917601294969,1.487851734328181,180.87004628926394,leaf
827.0,136.71067811865476,0.8789446988265622,0.8578838174273858,0.4725714285714286,964.0,2.096771450608983,1.79841328248307,180.87004628926394,leaf
243.0,61.45584412271572,0.5765208137086926,0.9169811320754717,0.680672268907563,265.0,1.2238666784188825,1.2368306498056523,180.87004628926394,leaf
254.0,62.2842712474619,0.6035317343837397,0.6902173913043478,0.42333333333333334,368.0,1.2541717234269356,1.2153831027188255,180.87004628926394,stem
838.0,173.63961030678928,0.9799166119450683,0.7853795688847235,0.5441558441558442,1067.0,5.014851305168085,2.8631475020423314,180.87004628926394,stem
247.0,62.04163056034262,0.8105658943422618,0.9285714285714286,0.6842105263157895,266.0,1.707511928793646,1.240108228847283,180.87004628926394,leaf
183.0,52.97056274847714,0.8320481527434637,0.9336734693877551,0.7625,196.0,1.80276519756352,1.2201359402937082,180.87004628926394,leaf
840.0,271.0609665440988,0.998235016768371,0.7400881057268722,0.1059135039717564,1135.0,16.83861725859466,6.960570155913243,180.87004628926394,stem
7536.0,591.5290039756343,0.9050221378170027,0.6419626884743164,0.4111965951874284,11739.0,2.350925093233521,3.6948884719503483,180.87004628926394,leaf
688.0,109.25483399593905,0.712344165710925,0.9173333333333333,0.6785009861932939,750.0,1.424845835417726,1.3806481672249145,180.87004628926394,leaf
365.0,81.84062043356595,0.9047334472514046,0.9455958549222798,0.5703125,386.0,2.3475382148524417,1.4602765050189797,180.87004628926394,leaf
301.0,83.94112549695429,0.9432048934494366,0.7777777777777778,0.5394265232974911,387.0,3.010129936645573,1.8628299698768533,180.87004628926394,stem
409.0,91.25483399593904,0.9110883624573146,0.8989010989010989,0.5164141414141414,455.0,2.4259414309377862,1.6202371536996114,180.87004628926394,leaf
1719.0,193.59797974644667,0.9436973922081046,0.9646464646464646,0.8264423076923076,1782.0,3.0228835597069104,1.735065607553869,180.87004628926394,leaf
2898.0,240.06601717798213,0.8897548928766347,0.9573835480673935,0.5962962962962963,3027.0,2.190874995944817,1.582534292034395,180.87004628926394,leaf
356.0,117.63961030678928,0.98625343439197,0.8557692307692307,0.29061224489795917,416.0,6.051813904547448,3.0934798563329027,180.87004628926394,stem
277.0,74.97056274847714,0.9400374919229387,0.9233333333333333,0.7446236559139785,300.0,2.931939763824163,1.614700235007716,180.87004628926394,leaf
